customer,type,project,product,code,location,quantity,year
"EURO INTERNATIONAL SCHOOL,SECTOR 84 GURGAON ",Commercial,"EURO INTERNATIONAL SCHOOL,SECTOR 84 GURGAON ",EWC, ,,,2018
"890,SECTOR 15,FARIDABAD SITE ",Residential,"890,SECTOR 15,FARIDABAD SITE ",EWC,,,,
"888,SECTOR 16, FARIDABAD SITE ",Residential,"888,SECTOR 16, FARIDABAD SITE ",EWC,,,,
"344,SECTOR 09,FARIDABAD SITE ",Residential,"344,SECTOR 09,FARIDABAD SITE ",EWC,,,,
"882, SECTOR 14,FARIDABAD SITE ",Residential,"882, SECTOR 14,FARIDABAD SITE ",EWC,,,,
"1244,SECTOR 14,FARIDABAD SITE ",Residential,"1244,SECTOR 14,FARIDABAD SITE ",EWC,,,,
"J-17,SECTOR 63 ,NOIDA ",Residential,"J-17,SECTOR 63 ,NOIDA ",EWC,,,,
"AAROHAN ,SECTOR 54, GURGAON ",Residential,"AAROHAN ,SECTOR 54, GURGAON ",EWC,,,,
GIRISH RESIDENCE ,Residential,RESIDENCE ,MARINO ARMOUR EXTERNAL WALL CLADDIND ,10659,,8 SHEETS ,2017
MR. MAHESH ,Residential,RESIDENCE ,MERINO EWC,10659,,30 SHEETS ,2017
JS PLATINUM ,Commercial,STORE ,MERINO EWC,,UDAIPUR ,71,2017
MR RANA ,Residential,RESIDENCE ,MERINO EWC,,DEHRADUN,NA,2017
MR NASIR ,Residential,RESIDENCE ,MERINO EWC,,DEHRADUN,NA,2017
MR NASIR ,Commercial,HOTEL/RESORT ,MERINO EWC,,DEHRADUN,NA,2017
MR VIPIN ,Residential,RESIDENCE ,MERINO EWC,,DEHRADUN,NA,2017
MR PRAKASH ,Residential,RESIDENCE ,MERINO EWC,,JAIPUR ,NA,2017
MR SHAKTI ,Residential,RESIDENCE ,MERINO EWC,,BRIDGE ROAD ,NA,2017
MERINO,Commercial,CORPORATE OFFICE IN BANGALORE ,MERINO GLOSS MIESTER ,25091,,20 SHEETS ,2017
